LeftGazeDirection,RightGazeDirection,LeftPupilDiameter(mm),RightPupilDiameter(mm)
<<<<<<< Updated upstream
=======
(0.20, -0.05, 0.98),(-0.16, -0.41, 0.90),5.305527,5.003571
(0.10, -0.16, 0.98),(-0.10, -0.41, 0.91),5.394547,5.200882
(0.05, -0.16, 0.99),(-0.40, -0.18, 0.90),5.63353,5.350555
(0.06, -0.16, 0.99),(0.02, -0.62, 0.78),5.621704,5.459518
(0.08, -0.20, 0.98),(-0.33, -0.50, 0.80),5.496292,4.625992
(0.06, -0.25, 0.97),(-0.31, -0.33, 0.89),5.439178,5.343109
(0.06, -0.26, 0.96),(-0.20, -0.42, 0.89),5.470886,5.36734
(0.06, -0.25, 0.97),(-0.30, -0.49, 0.82),5.509186,5.522217
(0.08, -0.21, 0.98),(0.00, 0.00, 0.00),5.489456,-1
(0.10, -0.16, 0.98),(0.17, -0.52, 0.83),5.472824,4.932022
(0.10, -0.16, 0.98),(-0.25, -0.43, 0.87),5.436432,4.797546
(0.10, -0.16, 0.98),(0.30, -0.34, 0.89),5.399368,4.387848
(0.10, -0.16, 0.98),(-0.05, -0.58, 0.81),5.43454,5.899033
(0.10, -0.17, 0.98),(0.00, -0.64, 0.77),5.469528,6.208313
(0.10, -0.21, 0.97),(-0.06, -0.50, 0.86),5.442337,5.47052
(0.10, -0.17, 0.98),(0.00, 0.00, 0.00),5.444641,-1
(0.13, -0.16, 0.98),(0.00, 0.00, 0.00),5.455902,-1
(0.15, -0.18, 0.97),(0.01, -0.33, 0.94),5.376999,4.438766
(0.15, -0.18, 0.97),(-0.29, -0.33, 0.90),5.375427,5.176422
(0.15, -0.18, 0.97),(-0.19, -0.34, 0.92),5.374908,5.098053
(0.14, -0.18, 0.97),(-0.08, -0.34, 0.94),5.37439,5.04129
(0.15, -0.18, 0.97),(-0.21, -0.47, 0.86),5.375687,2.686584
(0.00, 0.00, 0.00),(-0.21, -0.46, 0.86),-1,2.675766
(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),-1,-1
(0.14, -0.40, 0.91),(0.00, 0.00, 0.00),5.861313,-1
(0.26, -0.27, 0.93),(-0.19, -0.35, 0.92),5.64856,5.294235
(-0.03, -0.50, 0.86),(0.22, -0.19, 0.96),6.203094,5.2715
(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),-1,-1
(0.00, 0.00, 0.00),(0.00, 0.00, 0.00),-1,-1
(0.00, 0.00, 0.00),(0.00, -0.37, 0.93),-1,5.975845
(0.00, 0.00, 0.00),(-0.26, -0.21, 0.94),-1,5.097168
(0.00, 0.00, 0.00),(-0.22, -0.31, 0.93),-1,5.18837
(-0.07, -0.60, 0.80),(-0.18, -0.34, 0.92),6.53862,5.137634
(0.02, -0.50, 0.87),(-0.11, -0.37, 0.92),6.176682,5.192612
(0.07, -0.48, 0.87),(-0.03, -0.40, 0.92),6.072372,5.251114
(0.12, -0.46, 0.88),(0.02, -0.41, 0.91),5.971939,5.431534
(0.14, -0.44, 0.89),(0.07, -0.41, 0.91),5.97113,5.241867
(0.16, -0.41, 0.90),(0.03, -0.41, 0.91),5.971786,5.428711
